"nom","adresse","cp","ville"
"HERBORISTERIE    NATURA MUNDI","2  Bis  RUE ALSACE LORRAINE","31000","TOULOUSE"
"LOUIS HERBORISTERIE","Rue des Anciens ETANGS  40","1190","BRUXELLES"
"SARL  A . HEMBISE","138 ROUTE DE DRAGUIGNAN","06130","GRASSE"
"BIOCOOP  AU BOURGEON VERT","69 RUE BARBES","18000","BOURGES"
"CROC'BIO","32 Rue de Romainville","03300","CUSSET"
"LE COURABIO","3Bis Avenue Sadi CARNOT","42400","SAINT CHAMOND"
"MON BIO  ( Bioasis )","39 Bd de la République","38500","VOIRON"
"BIOCOOP NATURE ELEMENTS","2 Av.ALEXANDRE  BLANC","84110","VAISON LA ROMAINE"
"COHERENCE BIO","42 RUE D'ITALIE                         
ZAC  LE COUDOULET","84100","ORANGE"
"COMPTOIR DES BARONNIES","PORTE MAJOR","26170","MOLLANS SUR OUVEZE"
"UNI-VERT-BIO","15 Bd BRIAND","26170","BUIS LES BARONNIES"
"LA VIE CLAIRE  LA TOUR DU PIN","3 RUE Joseph MANCIER","38110","LA TOUR DU PIN"
"C'BIO POUR LE MORAL","Z.A  LES TERRASSES","34150","ANIANE"
"BIOCOOP  CASA BIO  CHORIER","32 RUE NICOLAS CHORIER","38000","GRENOBLE"
"NATUR 'O BIO","7 Rue Dr Louis LEGRAND","21700","NUITS SAINT GEORGES"
"SCOOP  CASABIO LIBERATION","234 AVENUE DE LA LIBERATION","38100","GRENOBLE"
"BIOCOOP CASABIO SAINT EGREVE","22 AVENUE  DE L'ILE BRUNE","38120","SAINT EGREVE"
"BIOCOOP CAMPANA","8 AVENUE DE L'ENTREPRISE
Parc commercial des Moutiers","12000","RODEZ"
"SARL JARDINERIE TARNAISE","ZI LA CHARTREUSE","81100","CASTRES"
"SARL COPAINS COPEAUX ( La Maison du Savon de Marseille)","10 Rue Gaston de Saporta","13100","AIX EN PROVENCE"
"BIOCOOP CASABIO CHAMBERY","26 QUAI DE LA RIZE","73000","CHAMBERY"
"SARL  CAP'BIO 04 ( LA VIE CLAIRE )","ESPACE CHAMPARLAU
Impasse de la fenière","04200","PEIPIN"
"BIOCOOP MALHERBE","1 AVENUE MALHERBE","38100","GRENOBLE"
"LES TRESORS DE GAÏA","41 PLACE SAINT LEGER","73000","CHAMBERY"
"LES BAINS DE LA CITE","9 Rue Cros Mayrevieille","11000","CARCASSONNE"
"BIO& SENS 3","ZAC   ST  ANTOINE","34130","SAINT AUNES"
"SO  BIO  AGEN","84 Av. de Bigorre","47550","BOE"
"SAS  FLACOCORANE","31 GRANDE RUE","84110","VAISON LA ROMAINE"
"RENDEZ VOUS BIO","33  Route de Marseille RN 8
LUYNES","13080","AIX EN PROVENCE"
"MARCEL & FILS","44 CHEMIN DES CIGALES
RD 562","83440","MONTAUROUX"
"MARCEL & FILS","502 AVENUE LOU GABIAN","83600","FREJUS"
"LA VIE EN BIO","14 ROUTE DE CLERMONT","63670","LE CENDRE"
"COEUR D'ARTICHAUT","22 ROUTE DE SAINT AGREVE","43190","TENCE"
"CHRISTIAN et  VERONIQUE DROGUERIE CADEAUX","12 Avenue CHARCOT","34240","LAMALOU  LES BAINS"
"LA BOUTIQUE D'AVENE","35  QUAI DES TANNERIES","34260","AVENE"
"CAP ' VITALITE","RD  468  RUE Gal LECLERC","67115","PLOBSHEIM"
"SARL DISTRI BIO   BIOCOOP NEVERS","47 Bd du GRAND PRE BORDES
ZA  GRANDS CHAMPS","58000","NEVERS"
"NBA  BIOMONDE  SARL","43 Bd  Camille DAGONNEAU","58640","VARENNES VAUZELLES"
"SARL Le Chêne et le roseau ( BIOCOOP COSNE SUR LOIRE °","Avenue du 85ème de ligne","58200","COSNE  COURS SUR LOIRE"
"CONSOMM' ACTEURS  BIO","Chemin Charité
Route d'Avignon  RN 100","84400","APT"
"LA CHAYOTE  SARL","9 RUE D'ESPAGNE","64100","BAYONNE"
"BIOCOOP","1630 Avenue  de FONNEUVE","82000","MONTAUBAN"
"BIOSOL","65 AVENUE GAMBETTA","82000","MONTAUBAN"
"AU BIO  ARCADIE","223 ROUTE DE GRENADE","31700","BLAGNAC"
"BIO VIVRE","104 RUE DE VERDUN","11000","CARCASSONNE"
"BIOCOOP SAINTES","4RUE DU CHAMP DE TIR
ZAC  PARC ATLANTIQUE","17100","SAINTES"
"MISS BIO & NAT  (Nicolas LEPINE )","CHM   MONTALIVET
46 AVENUE DE L'EUROPE  BP 83","33930","VENDAYS  MONTALIVET"
"BIOMONDE","9 RUE WILLIAM PONTY","17300","ROCHEFORT"
"L'HERBIER D'ALIENOR","Le Vieux Marché","33510","ANDERNOS"
"PURE PLANETE","8 Avenue du Maréchal des Logis Garnung","33680","LACANAU"
"LA HALLE TOURNONAISE  BIO","42 GRANDE RUE","07300","TOURNON SUR RHONE"
"MA BOUTIQUE BIO (SARL BIO KALI)","66 AVENUE LOUIS DE FOIX (RN10)","64100","BAYONNE"
"LA VIE CLAIRE (C-BIO)","3 AVENUE VICTOR HUGO","64200","BIARRITZ"
"L'EAU VIVE - BIO NATURE OCEAN","2 Impasse Robinson","40220","TARNOS"
"CASA BIO - SARL ARC EN CIEL","28 Bd des POMMES","64300","ORTHEZ"
"LA VIE CLAIRE - LE TEMPS DES SAISONS","Résidence Le Point Gascon
246, avenue Alphonse Daudet","40600","BISCARROSSE"
"L'EAU VIVE - SARL CANAL BIO","Avenue de Bayonne - RN10 Le plateau","64210","BIDART"
"BIOMONDE - BIO DISTRIO","ZAC DES COTEAUX
13 A RUE DE LA CHAMPAGNE ST GEORGES","17810","SAINT GEORGES DES COTEAUX"
"LES ROBINS DES BIO","18 ROUTE DE ROUEN
ZONE GRANDIN NOURY","76500","ELBEUF SUR SEINE"
"BIOCOOP -  SARL BIOCBG","ZAC de la Plaine
8 Rue Einstein","47200","MARMANDE"
"L'ADRESSE SAINE","159 AVENUE DES PYRENEES","33140","VILLENAVE D'ORNON"
"BIOCOOP RIVE DROITE","QUAI DE SOUYS 
PA LÔT DE VIMENCY","33270","FLOIRAC"
"ALLEE  DU  BIO","20 Avenue  MAUCAILLOU","33450","SAINT SULPICE ET CAMEYRAC"
"EPICERIE BIO La Sirène du Bassin","""L'Espace Captal""
8 rue Fr Legallais","33260","LA TESTE"
"La Vie Claire SARL MBR","240 avenue du Maréchal Juin","40000","MONT DE MARSAN"
"Le Marché de Léopold - BIOMEN Le Taillan","371 Bis Avenue du Médoc","33320","EYSINES"
"Le Marché de Léopold - BIOMEN POITIERS","50 Avenue du 11 Novembre
Zone du Grand Large","86280","SAINT BENOIT"
"MARCEL et FILS  FUVEAU","395 RD 96
JAS DE BASSAS","13710","FUVEAU"
"Le Marché de Léopold - BIOMEN LANGON","112 Cours du Maréchal de Lattre de Tassigny","33210","LANGON"
"Le Marché de Léopold - BIOMEN ANGOULEME","120 Route de Paris","16160","GOND PONTOUVRE"
"SAS  LA BIO DU SEMNOZ  (BIOCOOP)","12 CHEMIN DE FERIAZ","74600","SEYNOD"
"LA VIE CLAIRE  PASSY","293 RUE DES CARDINOLINS","74190","PASSY"
"BIOCOOP - SARL BIOCOOP CAUDERAN","48 AVENUE DU GENERAL LECLERC","33200","BORDEAUX"
"BIOCOOP DE CHALONS","32 AVENUE DE TERREBLANQUE","40230","ST VINCENT DE TYROSSE"
"L'EAU VIVE - SARL BIOMARCHE","58 BOULEVARD AMPERE","79180","CHAURAY"
"BIOMONDE (SAS HELICHRYSE )","29 rue de La ROCHELLE","63370","LEMPDES"
"BIOCOOP - SARL LE GRAIN D'OR","120 AVENUE MICHEL GRANDOU","24750","TRELISSAC"
"MARCEL et FILS","399Rue Emile RIPPERT","13600","LA CIOTAT"
"SARL TERRE D'ABONDANCE (LE GRAND PANIER BIO)","37-39 Avenue de Menival","69005","LYON"
"TOUT NATURELLEMENT","1 RUE DE LA FILHOLE","47200","MARMANDE"
"SARL BIONATURALYS","ZA DE PIED SEC NORD","17260","GEMOZAC"
"Le Marché de Léopold - BIOMEN SAINT PIERRE DU MONT","1950 AV DU PRESIDENT KENNEDY","40280","SAINT PIERRE DU MONT"
"BIO D'ACQS","25 AVENUE DU SABLAR","40100","DAX"
"LE PANIER BIO (SM BIO )","65 Av . J.JAURES","63200","MOZAC"
"LUNA LISA","9 B  Av. Kennedy","39500","TAVAUX"
"BIOCOOP MURET Sarl PREMABIO","20 Bd JOFFRERY","31600","MURET"
"SCOP   PRAIRIAL","10 Rue des Droits de l'Homme","69120","VAULX EN VELIN"
"LA VIE CLAIRE ( SARL TONIC )","16 Rue de la Poterie","74960","CRAN -GEVRIER"
"MR OU MME HANNETON PASCAL","133 AVENUE POINCARE","59700","MARCQ EN BAROEUL"
"GRAND PANIER BIO - SAS ROYAN BIO","46 RUE ANDRE MARIE AMPERE","17200","ROYAN"
"NATURE ET TERROIR","6 ROUTE DE TENCE","43400","LE CHAMBON SUR LIGNON"
"MME CHANTALE DURY","36 AVENUE DE LA MONT JOYE","30220","AIGUES MORTE"
"LA VIE CLAIRE - SAS LANALOUAN","1270 AVENUE DE TOULOUSE","82000","MONTAUBAN"
"BIOCOOP PURPAN - SARL BIOPURPAN","301 AVENUE DE GRANDE BRETAGNE","31300","TOULOUSE"
"LA VIE CLAIRE  AUBIERE","46 Avenue de COURNON","63170","AUBIERE"
"MARJOLAINE","6PLACE DE LA CALADE","43200","YSSINGEAUX"
"BIOCOOP - MAXIBIO","72 AVENUE PIERRE MENDES FRANCE","33700","MERIGNAC"
"INSTITUT SAINT ANGE","51 RUE A. DURAFOUR","42100","SAINT ETIENNE"
"LA VIE CLAIRE CHAMPAGNOLE","84 Impasse PILON","39300","CHAMPAGNOLE"
"BIOCOOP - SARL SAISON BIO","39 AVENUE DE VERDUN","33500","LIBOURNE"
"BIOCOOP - SARL LE GRAIN D'OR 3","Route de Ribérac 
Lieu dit : Les Combeaux","24650","CHANCELADE"
"SAVEURS DE LA TERRE - BIOMONDE","ALLEE DE DIETRICH
QUARTIER DE LA FOLIE","41100","SAINT OUEN"
"SO BIO","10 Avenue Gustave Eiffel","33600","PESSAC"
"COOP NATURE TOURS NORD","25 RUE HOLLANDE","37100","TOURS"
"SO BIO MONTAUBAN","850 Avenue Jean Moulin","82000","Montauban"
"SO BIO MURET","6 Rue Pierre de Fermat","31600","Muret"
"BIOCOOP  LA RAMEE","110 Av. MARQUISAT","31170","TOURNEFEUILLE"
"Schmidt Frank","Überseite 69","41352","Korschenbroich"
"LA VIE CLAIRE - SARL THYM ET ROMARIN","35 BIS ROUTE DE TOULOUSE","31700","CORNEBARRIEU"
"SO BIO LE HAILLAN","87 Rue de la Morandière","33185","Le Haillan"
"SO BIO BIGANOS","28A Rue des Fonderies","33380","Biganos"
"LA VIE CLAIRE (SARL ONET BIO)","Route d'Espalion","12850","ONET LE CHATEAU"
"LA VIE CLAIRE MACON","94 Route de LYON","71000","MACON"
"L'EPICERIE VERTE - PAU","Av Alfred Nobel -
106 Route de Morlaas","64000","PAU"
"BIOREFERENCE","36 BD VOLTAIRE","19100","BRIVE LA GAILLARDE"
"BIOCOOP - SARL LE SARLADAIS BIO","ZONE COMMERCIALE DU PONTET
LA GENDONIE BASSE","24200","SARLAT"
"SARL MOULIN  SAINT AUGUSTIN","Quartier les Hermitants
280 Rte d'Apt","84580","OPPEDE"
"SCATTOLIN   Myriam","Le Breil Haut
chez Mr STRABACH Patrick","46250","MARMINIAC"
"LA VIE CLAIRE - S. NATURE","17 RUE DE LA GALERE","72013","LE MANS CEDEX"
"ETIK ET BIO","RUE DES HALLES","45000","ORLEANS"
"BIOMONDE - EM'BIO","5 BIS RUE DU CLOS BORDEAUX","45190","TAVERS"
"EAU VIVE - SARL VIDISBIO","47 ROUTE DE TARBES","64320","BIZANOS"
"SARL  PARC DORIAN  (JARDINERIE  LARDON )","9 rue DORIAN","42700","FIRMINY"
"ATOUT BIOMONDE","25 RUE DES MIROUELLES","17310","SAINT PIERRE D'OLERON"
"BIO &SENS","100  ALLEE de LAUZARD
ZAC LES VERRIERS","34980","SAINT GELY DU FESC"
"LE MARCHE DE LEOPOLD - BIOMEN","85 AVENUE ALIENOR D'AQUITAINE
LOTS LES PETITES BAZINIERES","85000","LA ROCHE SUR YON"
"BIOMONDE - SAS GOODFOOD","10 RUE DE QUATREFAGES","17000","LA ROCHELLE"
"SARL   AU  PRIMEUR  DU  CHANTRE","1750 Av. de Provence
Quartier  le Chantre","26320","SAINT MARCEL  LES VALENCE"
"BIOMONDE","Place M.Gontier","34800","CLERMONT L'HERAULT"
"SARL  MOULIN GRIBORY",,"03120","CHATELUS"
"BIOCOOP - SANFRAN BIO","24 RUE LAVOISIER","17200","ROYAN"
"BIO AUDEMA","MAS SAINT PASTOUR","30310","VERGEZE"
"LA VIE CLAIRE  ( SARL BIOTHAU )","71 Avenue Marechal JUIN","34110","FRONTIGNAN"
"MIU Co., Ltd.","5F, 2-11-5 Komazawa
Setagaya-ku, 
Tokyo 154-0012","NULL","NULL"
"BIOCOOP - SCOP BIO COMMINGES","ZONE COMMERCIALE DE LANDORTHE
RN 117","31800","LANDORTHE"
"MyBioShop MONTABIO SAS","80C ROUTE DE CAVAILLON","84660","MAUBEC"
"EAU VIVE - SARL BIODAX","35 ROUTE DE LA BERNADERE","40990","ST PAUL LES DAX"
"LA VIE CLAIRE - SARL BIO ORTHEZ","26 AVENUE DU 8 MAI","64300","ORTHEZ"
"SARL DRPAG","5 rue de la liberté","97351","MATOURY"
"SUPERETTE BIO CARCASSONNE","ZA La Féraudière
Avenue Paul Henri Mouton","11000","CARCASSONNE"
"BIOCOOP - PANIER DU BEARN","59 ROUTE DE BAYONNE","64140","BILLERE"
"BIO TOUJOURS","2 ROUTE DE ST GEORGES D'ORQUES","34990","JUVIGNAC"
"Le Marché de Léopold - BIOMEN GUJAN","Avenue Césarée Centre Commercial Grand Large","33470","GUJAN MESTRAS"
"DROGUERIE  LEGRAND","53 RUE ST MICHEL","14130","PONT L'EVEQUE"
"L'EAU VIVE (ART DE VIVRE BIO)","511 Av. de l'Europe","69400","VILLEFRANCHE SUR SAONE"
"SUPERETTE BIO  SNC  CAVABIO","452 Impasse des Artisans","84170","MONTEUX"
"L'EAU VIVE - SARL BIOCHERI","PA De La Guerche
Avenue des Frères Lumière","44250","SAINT BREVIN LES PINS"
"L'EAU VIVE - SAS BIOPYRENEES","3 Bis Avenue du Mail de l'Hippodrome","64140","LONS"
"NATURE et SANTE","14 Rue GAMBETTA","73200","ALBERTVILLE"
"LA VIE CLAIRE LUNEL (SAS TWO BIO)","C.C LES PORTES DE LA MER","34400","LUNEL"
"BIOCOOP COSMOS CABESTANY","15 RUE BECQUEREL","66330","CABESTANY"
"NATURE ESSENTIELLE","17 RUE AUX FEVRES","71100","CHALON SUR SAONE"
"SATORIZ  ALBERTVILLE","1115 Chemin de la Cassine","73200","ALBERTVILLE"
"LA VIE CLAIRE SARL DIETAMINE","8 RUE PASTEUR","21000","DIJON"
"BIO SANTE","7 RUE Mal FOCH","57430","SARRALBE"
"LA SOURCE   BIOTHENTIK","1 RUE DE PULLY","67210","OBERNAI"
"LA VIE CLAIRE (HORIZON BIO)","8aV. d'EVIAN","74200","THONON LES BAINS"
"HOUPIN  JOCELYNE","130 RUE DE LA LIBERTION","60530","LE MESNIL EN THELLE"
"BIOMONDE SARL BIO OCEAN","186 Rue Carnot","85300","CHALLANS"
"BIOMONDE SARL REGAIN DE VIE","77 Boulevard de L'Egalité","85800","SAINT GILLES CROIX DE VIE"
"LA MAISON DU VOYAGE","2101C ROUTE DE MONTJOLY","97354","REMIRE MONTJOLY"
"BIOCOOP LA GRAINE DE LIN","ZONE d'ENTRAIGUES","05200","EMBRUN"
"SARL LA SPHERE BIO","3 RUE GRENETTE","04400","BARCELONNETTE"
"CHEVREFEUILLE","5 RUE LAVERGNE","19130","OBJAT"
"BIO & SENS","976 ROUTE d'AIX","84120","PERTUIS"
"PARADIS BIO","Route de la Tour d'Aigues","84120","PERTUIS"
"AMBIANCE BIO","RUE de la JUIVERIE","84160","LOURMARIN"
"MyBioShop SAS UZEGEBIO","Local 12C   CC Les Sablas","30700","MONTAREN"
"BIOCOOP","57 Avenue de la Libération","19360","Malemort-sur-Corrèze"
"AU NATUREL","LA SECHERE","24390","BADEFOLS D'ANS"
"EAU VIVE - SAS CREO SOLUTIONS","13 Rue du 14 Juillet","17138","PUILBOREAU"
"L'HERBORISTERIE  SARL SIGNOLETTE","1 RUE DES NONNES","73000","CHAMBERY"
"COTE NATURE  SARL DROPATISS","2 RUE DE MAISTRE","73000","CHAMBERY"
"M&OZ","5 Rue ST EXUPERY","69002","LYON"
"BIOCOOP DES OLONNES","30 Rue Plesses Rond point de La Boussole","85180","CHATEAU D'OLONNE"
"LA VIE CLAIRE","134 Avenue de la Roque","24100","CREYSSE"
"BIOCOOP QUINT","12 Chemin de Ribaute","31130","QUINT FONSEGRIVES"
"SARL LA GOUSSE D'AIL","ESPLANADE A.GIRAUD","05120","L'ARGENTIERE LA BESSEE"
"BIOCOOP  RIVE DE GIER","Rue J.B BERLIER","42800","RIVE DE GIER"
"L'ESSENTIEL","16 RUE DE LA BOMBARDE","69005","LYON"
"BIOCOOP MARAICHINE - SCOP BALNOV","1 Rue de la Cailletière","85300","CHALLANS"
"BIOCOOP UNIVERSITE - LE FENOUIL","22 Bd Louis Leprince-Ringuet","72000","LE MANS"
"BIONATURE","1375 Route de Saint Jean de Braye","45400","SEMOY"
"TISSERAND Sylviane","110 Rue Gaston SAVE","88100","ST DIE  des VOSGES"
"LE PANIER DU MOULIN","N°1   D118 Le Buou","84160","PUYVERT"
"MYBIOSHOP   ROCBARON","ZAC du Fray Redon","83136","ROCBARON"
"MYBIOSHOP   SANARY","670 ROUTE DE BANDOL","83110","SANARY SUR MER"
"MARCEL ET FILS","1532 Av. des Platanes","34970","LATTES"
"LE GRAND PANIER BIO","137 Avenue Charles DUPUY","43700","BRIVES CHARENSAC"
"AQUAROMAT","ZAE La Croix de la Borie","24590","SAINT-GENIES"
"LA VIE CLAIRE - SARL FRAVI","64 Route de Léognan","33140","VILLENAVE D'ORNON"
"ALUSSE Cecile","Le Grenier à Sel","53170","MAISONCELLES DU MAINE"
"ETHIQUETTE  SARL PADELOUP","15 Rue des FUSILLES","23200","AUBUSSON"
"LA VIE CLAIRE CROQ NATURE","25Av. de PARIS","41200","ROMORANTIN LANTHENAY"
"GRAND PANIER BIO","67 ROUTE DE BAYONNE","31300","TOULOUSE"
"L'EAU VIVE - SARL FLANDREA","12 Avenue Jean Perrin","33700","MERIGNAC"
"L'ELIXIR D'ANAÏS","36 Rue de l'église","38200","VILLETTE DE VIENNE"
"KIOSQUE IN LYON","K2 PlaceBELLECOUR","69002","LYON"
"BIO GRAY  SUPERETTE LES TILLEULS","35 Grande Rue","70100","GRAY"
"SATORIZ    MACON","22 Rue du 19 MARS  1962
ZACdes Platieres","71000","SANCE"
"SATORIZ SALLANCHES","1894 Avenue de GENEVE","74700","SALLANCHES"
"SATORIZ  ANNECY","99 Avenue des Alpes","74330","EPAGNY"
"SATORIZ AVIGNON","Rue de la Tramontane","30133","LES ANGLES"
"SATORIZ NIMES","115 Avenue des Français libres","30900","NIMES"
"SATORIZ MONTPELLIER","ZAC Le Fenouillet","34470","PEROLS"
"SATORIZ  LES  7  CHEMINS","C.C les  7CHEMINS","69120","VAULX EN VELIN"
"SATORIZ    ST MARTIN D'HERES","2  Av.  Gabriel PERI","38400","ST MARTIN D'HERES"
"SATORIZ CROLLES","441 Rue Charles de Gaulle","38920","CROLLES"
"SATORIZ   L'ISLE D'ABEAU","Rue Vincent VAN GOGH","38080","L'ISLE D'ABEAU"
"INSTITUT  HELITYS  MAHE Carole","73 Rue de la chapelle","74140","ST CERGUES"
"BIOCOOP - SAS ENTRE CIEL ET TERRE","ROUTE DE SAMATAN","32600","L'ISLE JOURDAIN"
"ASILI  NI  MAALI","15 Rue du PORTUGAL","03200","VICHY"
"SATORIZ  CLERMONT","15 Av. du Roussillon","63170","AUBIERE"
"BIOCOOP LES 7 SAVEURS","197 Rue des FOURCHES","45500","GIEN"
"LA VIE CLAIRE  SARL LA FERME NATURE","2 Av. CHAUTEMPS","45200","MONTARGIS"
"SO BIO","184 chemin de Boudou","31140","LAUNAGUET"
"LA VIE CLAIRE - SARL LA VIE BIO","163 Avenue Louis Barthou","33200","BORDEAUX CAUDERAN"
"SATORIZ VALENCE","Zone des MURETS","07130","SAINT PERAY"
"SNC   SACEBIO (LA SUPERETTE BIO )","190 Bd J.JAURES","13300","SALON DE PROVENCE"
"SATORIZ  GRAND SUD","Av. PADOVANI ZAC du LIOURAT","13127","VITROLLES EN PROVENCE"
"SATORIZ  PUGET","LA TUILIERE RN 7","83480","PUGET SUR ARGENS"
"SATORIZ MANDELIEU","85 Allée Louis BLERIOT","06210","MANDELIEU LA NAPOULE"
"SATORIZ  VALLAURIS","2791 Chemin  St  Bernard","06225","VALLAURIS"
"SATORIZ  NICE","37 Av. Auguste VEROLA","06200","NICE"
"SATORIZ AUBAGNE","2 Impasse des Roselières","13400","AUBAGNE"
"SATORIZ   TETE D'OR","100 Av. Gal LECLERC","69300","CALUIRE"
"TFC","Route de LEVEAU","38200","VIENNE"
"SATORIZ  MULHOUSE","13 ROUTE DE SOULTZ","68270","WITTENHEIM"
"SATORIZ STRASBOURG","RUE TRANSVERSALE B","67550","VENDENHEIM"
"SATORIZ  SAINT ETIENNE","5 Rue Marc CHARRAS","42100","SAINT ETIENNE"
"SATORIZ  COMBOIRE","12 Rue des Montagnes de Lans","38130","ECHIROLLES"
"SATORIZ CHAMBERY","2577 Av. des Landiers","73000","CHAMBERY"
"SATORIZ  ANNEMASSE","2Rue René CASSIN","74240","GAILLARD"
"SATORIZ  LEMAN","4 Bd du Pré BIOLLAT","74200","ANTHY SUR LEMAN"
"SATORIZ  FERNEY VOLTAIRE","31 Av. VOLTAIRE","01210","FERNEY -VOLTAIRE"
"SATORIZ  THOIRY","CC VAL THOIRY  ZA  Pré Fontaine","01710","THOIRY"
"L'EAU VIVE  SARL CBIO","4Rue Louis BLERIOT","68000","COLMAR"
"BIOCOOP MONTREDON","2 rue d' ARIANE","31240","L'UNION"
"LA VIE CLAIRE","385 Av. du COMTE VERT","73000","CHAMBERY"
"BIOCOOP - L'ALBRET VERT","ZA Larrousset 
Route de Condom","47600","NERAC"
"BIOCOOP  TOURNON SUR RHONE","175 Rue deCHAMPAGNE","07300","TOURNON SUR RHONE"
"LA SUPERETTE BIO -SNC AIXBIO","24 Cours SEXTIUS","13100","AIX EN PROVENCE"
"NUTRIMENTHE","11 Bis Avenue des Pyrénées","31600","MURET"
"BIOCOOP - SARL VILLENAVE BIO","42 RUE JEAN PAGES","33140","VILLENAVE D'ORNON"
"BIOCOOP ORLEANS NORD","40 Rue Gabriel  DEBACQ","45770","SARAN"
"BIOCOOP","71 Avenue Paul Doumer","24100","BERGERAC"
"VERT CHEZ NOUS","1 Rue du 11 Novembre","34410","SERIGNAN"
"VERT CHEZ NOUS","1 Rue du 11  Novembre","34410","SERIGNAN"
"BIOCOOP  CHOLET SUD","12 Avenue de la Marne","49300","CHOLET"
"BIOCOOP DU LEMAN","45 CHEMIN DU JOURNANS","01170","CESSY"
"BIOCOOP","Z.A  LES  ESTRADES","07150","VALLON PONT D'ARC"
"BIOCOOP DU LEMAN","45 CHEMIN  DE JOURNANS","01170","CESSY"
"L'ARBRE à SAVONS","42Rue SIGORGNE","71000","MACON"
"NATUR ' ARCADE","65  Grande Rue","71500","LOUHANS"
"MyBioShop","2 Rue Ernest EUZEBY","30200","BAGNOLS SUR CEZE"
"EURL  CITE PROVENCE","15 RUE ST LOUIS","11000","CARCASSONNE"
"LES SAVONNERIES DU SOLEIL","26 QUAI CH . DE GAULLE","83150","BANDOL"
"SARLU   LES SENS CIEL","16  Rue JAUNE ROUX","13210","ST REMY DE PROVENCE"
"SARL ETHIQUE ET BIO","1 ROUTE DE CHATEAUROUX","36100","ISSOUDUN"
"SOBIO  COGNAC","Le Fief du Roy
Rue Pierre LATECOERE","16100","CHATEAUBERNARD"
"L'ANGELIQUE  (Virginie  GIROTTI )","36 Cours de la REPUBLIQUE","33390","BLAYE"
"L'AUTHENTIQUE","75 Av. des Campings","34340","MARSEILLAN  PLAGE"
"SOCIETE  LOKARE","4 Route de ST GEORGES","63800","LA ROCHE NOIRE"
"SAVONNERIES DU SOLEIL  SARL LORCHAMP","8 RUE ST JEAN","69005","LYON"
"LE GRAND PANIER BIO","ZAC SENS SUD 
2-4 Avenue Jean DELPECH","89100","SENS"
"BIOCOOP  FRONTON","25 Chemin du Buguet","31620","FRONTON"
"BIOCOOP JOJOBA","Village Vert 5 , Place de verdun","04300","FORCALQUIER"
"LE REGARD VERT","ZI PLAN LONG
Rue des Micocouliers","30430","BARJAC"
"MILLARD    Claire","82 Rue POINTIN","80000","AMIENS"
"MARY  Michèle","Le Servenier
7 Voie Romaine","24100","LEMBRAS"
"BIOAZUR","Espace commercial SAINT MARC","12850","ONET LE CHATEAU"
"BIOCOOP LE PERGET","2-4 Avenue AMPERE","31770","COLOMIERS"
"BIOMEN LE MARCHE DE LEOPOLD","Chemin de la justice
Zone commerciale LECLERC","47300","VILLENEUVE SUR LOT"
"AU PANIER BIO SARL SAMY BIO","Route de FUMEL
ZAC PARASOL","47300","VILLENEUVE SUR LOT"
"WEBECOLOGIE","94 Av. de PICOT","33320","EYSINES"
"GRAINS DE SEL","LA SERRE","19200","MESTES"
"BIOCOOP  AU PANIER VERT","Z I des SALINES
106 Rue des TILLEULS","73600","MOUTIERS"
"RMCM DIFFUSION","Quai d'Honneur","34280","LA GRANDE MOTTE"
"SAS Aux Saveurs des Abbayes","25 Grand Rue Jean JAURES","30220","AIGUES MORTES"
"BIOCOOP PAIS ALBIGES","9Rue du PUECH PETIT","81000","ALBI"
"LE MARCHE DE LEOPOLD  BIOMEN","Lieu dit   La Cavaille Sud
Rue du Tournet","24100","BERGERAC"
"BIOBULLE","972 Route des Pujets","06700","ST LAURENT DU VAR"
"MARCEL et FILS  CARPENTRAS","1550 Chemin de Saint Gens","84200","CARPENTRAS"
"LA VIE CLAIRE   SAS  BRILOY","Zone Commerciale","26400","AOUSTE SUR SYE"
"BIO  SENS (COMPTOIRS DU BIO)","Rue de la GAILLARDE","89100","SAINT CLEMENT"
"LE VIEUX MOULIN","Quartier  MAUPAS","84110","PUYMERAS"
"L'EAU VIVE","23 Avenue de COURNON","63170","AUBIERE"
"BIOCOOP PAIS D'OC","150 ROUTE DE PEZENAS","34500","BEZIERS"
"BIOCOOP LEZIGNAN","3 RUE DE L'ALARIC","11200","LEZIGNAN- CORBIERES"
"BIOCOOP PLANETE PARADIS","42/44 Av. FOCH","06140","VENCE"
"CEREPRIM","535 Av. du Club  Hippique","13080","AIX EN PROVENCE"
"L'EAU  VIVE","CC  Chasse Sud lieu dit Les Roues
1515 Av. Frédéric MISTRAL","38670","CHASSE SUR RHONE"
"BIOCOOP LA REPUBLIQUE","19 Av. de la République","75011","PARIS"
"NATURA MUNDI","JARDIN BOTANIQUE","09000","LOUBIERES"
"LA CORBEILLE D'ORIENT","217 Rue Philippe de GIRARD","84120","PERTUIS"
"BIOLIBOURNE","22 Rue Michel  MONTAIGNE","33500","LIBOURNE"
"A LA SOURCE BIO","6 RUE DES FONTAINES","05200","EMBRUN"
"SARL BIO DURANCE","6 PLACE DE LA MAZELIERE","05200","EMBRUN"
"AIGUESBIO","1064 ROUTE DE NIMES","30220","AIGUES MORTES"
"BIOCOOP PORTE DES ALPES","AVENUE Jean MONNET","69500","BRON"
"BIOCOOP  SAINT PARDOUX","ZAC STE CROIX LUGAT","47200","SAINT PARDOUX"
