"nom","adresse","cp","ville"
"SUPERETTE BIO  CARPENTRAS (SNC VENCEBIO )","254 Av. Pierre SEMARD","84200","CARPENTRAS"
"NATUREVY   MLE DALLIES VALERIE","113 ROUTE NATIONALE","32200","GIMONT"
"BIOMONDE","27 ESPLANADE DE LA FILATURE","88200","REMIREMONT"
"LA VIE CLAIRE","7 RUE POULLAIN DUPARC","35000","RENNES"
"PERSIL ET CIBOULETTE","13 AVENUE CHARLES DE REFUGE","10120","SAINT ANDRE LES VERGERS"
"ETIC  PROBIO  PLEIN CHAMP DANS LA VILLE","24 Bis PLACE ETIENNE MARCEL","78180","MONTIGNY LE BRETONNEUX"
"LA VIE CLAIRE","50 BOULEVARD ALLIES","70000","VESOUL"
"OLIVE'S","34 Bd GASSENDI","04000","DIGNE LES BAINS"
"SARL DIETETIC","46 RUE DE L'HUBAC","04000","DIGNE LES BAINS"
"HERBERIE SAINT MARTIN","48 RUE Mal FOCH","66000","PERPIGNAN"
"BIONA","25 RUE DES SABLONS","77300","FONTAINEBLEAU"
"L'ETHIQUE VERTE(NATURE ET BIO)","106 AVE TOLOSANE","31520","RAMONVILLE SAINT-AGNE"
"MIEUX-VIVRE","39 Bd DE LA REPUBLIQUE","06240","BEAUSOLEIL"
"SERTOIBIO    BIO GOLFE","Z.A   ROUTE DE ST MAUR","83310","COGOLIN"
"BIOCOOP L'AUZONNE","283 AV. NOTRE DAME DE SANTE","84200","CARPENTRAS"
"DES RACINES ET DES HERBES","5 RUE CAMILLE DESMOULINS","38000","GRENOBLE"
"L'EAU VIVE","ZAC DE LA GINIESSE","34500","BEZIERS"
"BIOCOOP MERE NATURE","ROUTE DE SAINT GERVAIS","30200","BAGNOLS SUR CEZE"
"LA MOISSON   Sarl","6 Rue  de la Mourvedre
espace Jules Milhau","34800","CLERMONT L'HERAULT"
"S.A.R.L L'OLI D'OC","13 AV. WILSON","34800","CLERMONT L'HERAULT"
"BIOCOOP GRENELLE","44 Bd GRENELLE","75015","PARIS"
"BIOCOOP GLACIERE SARL SUPER St LEON","64 RUE DE LA GLACIERE","75013","PARIS"
"BIOCOOP LE PERREUX","131 AVENUE PIERRE BROSSOLETTE","94170","LE PERREUX SUR MARNE"
"SEDAN NATURE","6 RUE GAMBETTA","08200","SEDAN"
"LA CIGALE ET LA FOURMI","103 Route de Bitche","67500","HAGUENAU"
"NOURI BIO MARKET","10 RUE ALFRED MAUREL   Z.A LES RODETTES","34120","PEZENAS"
"LES METS DE PROVENCE  MIDI CONSERVES","Z.I  LA CROISIERE","84500","BOLLENE"
"CHLOROPHYLLE","21 Bd  du PORTALET","30500","SAINT   AMBROIX"
"VILLA  NATURA    S.A.R.L","CHEMIN DE SEVERIN","13200","ARLES"
"LOU CIGALOUN","RUE DES FOURS","13520","LES BAUX DE PROVENCE"
"ARTS POPULAIRES","RUE PRINCIPALE","64250","AINHOA"
"BIOCOOP EPONE","ZAC DE LA COURONNE DES PRES
6 AV.DE LA MAULDRE","78680","EPONE"
"DISTRIBIO","11 PLACE BONNET","34120","PEZENAS"
"BIOCOOP  SARL REPONSE NATURE","65. AVENUE EISENHOWER","39100","DOLE"
"LE PANIER DU PILAT","15 BIS  RN 86","42410","SAINT MICHEL SUR RHONE"
"SAINBIO'Z","79 AV. D'EMBRUN","05000","GAP"
"LA NATURE ET VOUS","AV. FREDERIC MISTRAL","04100","MANOSQUE"
"LE BLE EN HERBE","ZI ST JOSEPH  AV. DE LA LIBERATION","04100","MANOSQUE"
"LES NOUVEAUX ROBINSON  LA SOGARIS","BATIMENT B4 CELLULE 2
BP 152","94534","RUNGIS CEDEX"
"L'OR DES PLANTES","CIDEX 1080  11 ROUTE DE QUISSAC","30250","ASPERES"
"LA VIE CLAIRE S.A.S LOYBI","QUARTIER PIERRE POINTUE","26150","DIE"
"LE GRAND PANIER BIO  SARL  N B D H","AVENUE DE GOURNIER","26200","MONTELIMAR"
"CULTURES BIO","1713 ROUTE DE ROBION","84300","CAVAILLON"
"PLANETE  NATURE","15 RUE HOCHE","87100","LIMOGES"
"SATORIZ","3 RUE LAPS","51350","CORMONTREUIL"
"LA VIE  CLAIRE","13 RUE DES  ROMAINS","11200","LEZIGNAN- CORBIERES"
"PLEINE NATURE (sarl LE BON VIVANT )","CC AVIGNON NORD  ENTREE 1","84700","SORGUES"
"PANIER NATUREL","PLACE DE LA MAIRIE","30430","BARJAC"
"BIO BAOBAB SASU    LE GARDE MANGER BIO","20 RUE DU MARCHE","07140","LES VANS"
"LUBERON BIO","Z.I  LES BOURGUIGNONS  ROUTE DE GARGAS","84400","APT"
"BIOPLAISIR","142 Av. CH .de GAULLE","69160","TASSIN LA DEMI LUNE"
"CROQ NATURE","2 RUE GAMBETTA","10100","ROMILLY SUR SEINE"
"LA VIE CLAIRE   AUXERRE","ZONE DES CLAIRIONS
4 AVENUE WORMS","89000","AUXERRE"
"NATUR'FORME","40 RUE GAMBETTA","89300","JOIGNY"
"BIONACELLE","30Bd de la REPUBLIQUE","07100","ANNONAY"
"BIOCOOP DE L'ETANG DE THAU","Avenue de la Barriere   CC BALARUC  LOISIRS","34540","BALARUC LE VIEUX"
"AVICENNE  (CHATOBIO )","2150 ROUTE D'AVIGNON QUARTIER DE LA CROIX ROUGE","13160","CHATEAURENARD"
"ARMONY DE VIVRE","33 ROUTE DE MONTFAVET","84000","AVIGNON"
"BIOCOOP CHAMBOURCY","50 ROUTE DE MANTE","78240","CHAMBOURCY"
"SIMPLES ET SAVEURS","6 RUE DROITE","07140","LES VANS"
"BIOMONDE   SARL LE BOUCHON","5 Av. Marc SEGUIN","07000","PRIVAS"
"RAYONS VERTS","47 COURS ARISTIDE BRIAND","08000","CHARLEVILLE MEZIERES"
"FERME DES PEUPLIERS SARL","RUE BOURBON","67480","FORT-LOUIS"
"BIOCOOP  LA CLAIRE FONTAINE","Av. des Gorges du Tarn","48000","MENDE"
"LES HALLES DE CERNAY","3 AVENUE D'ALSACE","68700","CERNAY"
"VITANA","13 RUE ORFEVRES","67000","STRASBOURG"
"MARJOLAINE","6 RUE DU JEU DE PAUME","04000","DIGNE LES BAINS"
"BIO COPELIA","450  allées de Craponne","13300","SALON DE PROVENCE"
"MARCHE BIO PROVENCAL","1 Bd DANTON","13300","SALON DE PROVENCE"
"VIVRE BIO","CCI ELLIPSE 1 r GRIESSMATT","67520","MARLENHEIM"
"BIOCOOP FOREZ BIO","C-BRIANT -LA BRUYERE","42600","SAVIGNEUX"
"ARCADIE","Z.I PASTABRAC","11190","COUIZA"
"COOP NATURE CHAMBRAY","13 RUE AUGUSTIN FRESNEL","37170","CHAMBRAY -LES -TOURS"
"LA SOURCE","ZA du Salat
7 Rue NEWTON","13310","SAINT MARTIN DE CRAU"
"SUPER ECO BIO","LE SIALA BAS  ROUTE DE MAZAMET","81100","CASTRES"
"MARCEL ET FILS","1 ALLEE DES PLATANES","13770","VENELLES"
"MARCEL ET FILS","AVENUE ETIENNE RABATTU","13170","LES PENNES MIRABEAU"
"LA DIETETIQUE","44 AVENUE FOCH","06140","VENCE"
"LA VIE CLAIRE   GIVORS","3 RUE DU COMMERCE","69700","GIVORS"
"LA VIE CLAIRE ST JEAN DE LUZ (SARL HEGO BIO)","140 RUE BELHARRA","64500","SAINT JEAN DE LUZ"
"L'EAU VIVE  BOURG LES VALENCE","1 ALLEE DU LONG","26500","BOURG LES VALENCE"
"BIO & SENS","C .C  LES PORTES DU SOLEIL","34990","JUVIGNAC"
"BIO & SENS","12 RUE LOUIS BREGUET
PARC CLEMENT ADER","34830","JACOU"
"BEAU T'ES BIO","Z.A LA GRUE
3 IMP. CHARLES GARNIER","26120","CHABEUIL"
"NATURE ET TERROIR","23 RUE DU PEYROU","11130","SIGEAN"
"SATORIZ","11 RUE DES ROSIERISTES","69410","CHAMPAGNE AU MONT D'OR"
"L'EAU VIVE","9 RUE LOUIS ARAGON","68270","WITTENHEIM"
"GALERIE D'ART","2 PLACE GAMBETTA","83230","BORMES LES MIMOSAS"
"LA RESERVE DU PONT VIEUX","35 Bd LAZARE CARNOT","83610","COLLOBRIERES"
"L'EAU VIVE  CLERMONT FERRAND","17 RUE FONTGIEVE","63000","CLERMONT FERRAND"
"RAYONS VERTS ..","22 RUE J. MOULIN","03000","MOULINS"
"TERRE &  BIO","10 AV. ALBIN GILLES
Z.A  DE LA GARE","13210","ST REMY DE PROVENCE"
"LOU LUBEROUN","144  RUE ST PIERRE","84400","APT"
"JAAMA","2 RUE ARTHUR ROBERT","04100","MANOSQUE"
"BIOCOOP PAMIERS","Zc de la Cavalerie
1 Rue de la Chataigneraie prolongée","09100","PAMIERS"
"REYNAUD  Guillaume","Col du Pontias","26110","NYONS"
"BIOCOOP  BOURGOIN JALLIEU","19 AV .  BARBUSSE","38300","BOURGOIN  JALLIEU"
"BIO SAM","9-11 RUE DU  Dr COULON","18200","SAINT AMAND MONTROND"
"LE MOULIN DU PUITS SALE","3 COURS BAILLI DES  ECOTAIS","17410","SAINT MARTIN DE RE"
"APRES LA PLUIE   BIOMONDE ST ETIENNE","42 RUE BADOULIERE","42100","ST  ETIENNE"
"VIVRE BIO","26 ROUTE DE STRASBOURG","67550","VENDENHEIM"
"BIOCOOP LE FENOUIL","2 RUE DES NOISETIERS 
ZAC DE LA POINTE","72190","SARGE LES LE MANS"
"LA VIE CLAIRE VILLEFRANCHE SUR SAONE.","1117 Av Ed. HERRIOT.","69400","VILLEFRANCHE SUR SAONE"
"COTE  NATURE","13 RUE DE L'INDUSTRIE","67400","ILLKIRCH-GRAFFENSTADEN"
"LA  MAISON VITALE   S A S","2 RUE ADOLPHE SEYBOTH","67000","STRASBOURG"
"LA BELLE BIO","49 Bd  du  NORD","43500","CRAPONNE  SUR  ARZON"
"BIO EVEIL","17  Bd de la République","34110","FRONTIGNAN"
"LA VIE CLAIRE  BRIGNAIS","Parc activités  2000
Route de LYON","69530","BRIGNAIS"
"LA VIE CLAIRE  MABLY","22 RUE DE L'ARTISANAT","42300","MABLY"
"LA VIE CLAIRE LE COTEAU","30 Bd Gal DE GAULLE","42120","LE COTEAU"
"BIO DORE","2 ROUTE DE CLERMONT","63920","PESCHADOIRES"
"BIOCOOP  VICTOR HUGO","333 RUE VICTOR HUGO","26000","VALENCE"
"SATORIZ  VIENNE SEYSSUEL","Z.I SEYSSUEL  RD 4","38200","SEYSSUEL"
"LA MARJOLAINE","80 Av. Jean JAURES","69007","LYON"
"LA PETITE MAISON DU BIO -","45 RUE DES MINIMES","42300","ROANNE"
"BIOCOOP LUNEL","268 CHEMIN DE LA VIDOURLENQUE","34400","LUNEL"
"SAVEUR NATURE .","459 RUE FRANCOIS GIRAUD","69400","VILLEFRANCHE SUR SAONE"
"BIOCOOP  VILLEFRANCHE SUR SAONE (SARL COMPTOIR BIO)","1525 Route de FRANS","69400","VILLEFRANCHE SUR SAONE"
"BIO CONVIV' .","1 rue de  de Maupertuis","03410","DOMERAT"
"S.A.R.L  JEANBER  2    LE GRAND PANIER BIO","19 RUE DE L'AGRICULTURE","63100","CLERMONT FERRAND"
"AU COEUR DE LA NATURE","2 RUE CH. DE GAULLE","69210","L'ARBRESLE"
"L'EAU VIVE VANDOEUVRE","12 RUE ROBERVAL","54500","VANDOEUVRE LES NANCY"
"BIOLOGIQUEMENT VOTRE .","8 RUE LAMOURDEDIEU","63500","ISSOIRE"
"GM BIO  BIOMONDE","CC  12 ROUTE DE  ST POURCAIN","03110","CHARMEIL"
"COCO BIO","30 ROUTE DE COUBON","43700","BRIVES CHARENSAC"
"AU RELAIS VERT","RUE DES SAULNIERS
ZAC. DE LA SALINE","70200","LURE"
"D'ELLE AU NATUREL","7 BOULEVARD DE BELFORT","90100","DELLE"
"EUREA COOP  ( GAMM VERT  VILLARS )","ROUTE DE ST ETIENNE","42110","FEURS"
"L'EPICERIE DU COIN","33 PLACE DU FAUBOURG","12270","NAJAC"
"LA GRANGE BIO","CHEMIN DE CAUSSERENE","83340","LE CANNET DES MAURES"
"MARCEL ET FILS   ( ST RAPHAËL )","1254 Bd Jean MOULIN","83700","SAINT RAPHAËL"
"LE MARCHE DE FANNY","203 AVENUE PAUL JULLIEN","13100","LE THOLONET"
"LA SUPERETTE BIO MONTFAVET  SNC  VENCEBIO","Adresse magasin      Rue du bon vent  84140  MONTFAVET

452 Impasse des Artisans","84170","MONTEUX"
"MARCEL ET FILS","ZAC LES ETANGS
6 RUE DES TAMARIS","13920","SAINT MITRE LES REMPARTS"
"LA VIE CLAIRE  CRAPONNE","11 RUE Edouard MILLAUD","69290","CRAPONNE"
"LE GRAND PANIER BIO  (BIO FAMILY SARL )","702 RD 613","34740","VENDARGUES"
"BIOCOOP LE CRES","10 ROUTE DE NIMES","34920","LE CRES"
"LE CHENE VERT","ZAC  TRIFONTAINE
5 RUE DES GENETS","34980","SAINT CLEMENT DE RIVIERE"
"L'EPICERIE VERTE","1 rue Pierre-gille de gennes","64140","LONS"
"LE BIOCAL","24 RUE  PAUL VERLAINE","69100","VILLEURBANNE"
"MARCEL et  FILS","ROUTE DE LA SEYNE
QUARTIER PIEDARDANT","83190","OLLIOULES"
"MARCEL et  FILS","2384  Av .Joseph GASQUET","83100","TOULON"
"LA VIE CLAIRE  LYON ROCKFELLER","16 AVENUE ROCKFELLER","69008","LYON"
"LA VIE  CLAIRE   BEYNOST","Z A C  des BATERSES
RUE DU PRE  CAILLAT","01700","BEYNOST"
"SARL  SUPER NATURE","17 Bis   Bd VOLTAIRE","66200","ELNE"
"LA SUPERETTE  BIO   ( DOC  BIO)","CHEMIN DE L'ARNAC","30100","ALES"
"LA VIE CLAIRE  LIMOGES (Neuf par Neuf Sarl)","1 PLACE DU POIDS PUBLIC","87000","LIMOGES"
"LE GRAND PANIER BIO LIMOGES  (SAS  GADERENT)","2 RUE DE MONTLHERY","87000","LIMOGES"
"BIO CREUSE","Av. de l'Europe","23000","GUERET"
"BIOCOOP  L'ANDESITE  ( Sarl ACALIS )","20 Avenue d'AUBIERE","63800","COURNON D'AUVERGNE"
"PHARMACIE DE LA MADELEINE","CHEMIN DE LA MADELEINE","34800","CLERMONT L'HERAULT"
"BIOCOOP  LA MARIGOULE","ZAC  PONT DE CHARETTES","30700","UZES"
"BIOCOOP  LA MARIGOULE","C.C les 7 COLLINES
42 RUE DU FOREZ Bat. B",30000,"NIMES"
"LA VIE CLAIRE LYON LAFAYETTE","245 COURS LAFAYETTE","69006","LYON"
"LA VIE CLAIRE  LYON  VENDOME","125 RUE VENDOME","69006","LYON"
"LA VIE CLAIRE  DECINES CHARPIEU","191/193 Av. J. JAURES","69150","DECINES CHARPIEU"
"LA VIE CLAIRE  TIGNIEU","26 ROUTE DE CREMIEU","38230","TIGNIEU"
"LA VIE CLAIRE  ROMANS","6 RUE DES ALLOBROGES","26100","ROMANS SUR ISERE"
"LA VIE CLAIRE  CHAMBERY","89 RUE SOMMEILLER","73000","CHAMBERY"
"LA VIE CLAIRE  AIX LES BAINS","19 Bis Square Alfred BOUCHER","73100","AIX LES BAINS"
"LA VIE CLAIRE  MEYLAN","21 RUE DU GRESIVAUDAN","38240","MEYLAN"
"LA VIE CLAIRE  VOIRON","6 RUE LEPRINCE RINGUET","38500","VOIRON"
"LE GRAND PANIER  BIO","ZA DE LA HAUTE BORNE
350 RUE DE LA BUTTE AUX LIEVRES","77100","MAREUIL LES MEAUX"
"MARCEL ET FILS","Z.C AVIGNON NORD - LE PONTET
LOT. BARNEOUD  LOT N°7","84700","SORGUES"
"BIO LEON","103 Av. du Lac","40550","LEON"
"ESPACE  BIO","19 RUE  BLAISE PASCAL","36000","CHATEAUROUX"
"EUREA COOP ( GAMM VERT  ST CHAMOND )","ROUTE DE ST ETIENNE
ZC  CARREFOUR","42110","FEURS"
"L'HERMITAGE","34  RUE  WITTERTALHOF","67140","LE  HOHWALD"
"AGRI SUD EST CENTRE  ( GAMM VERT  MONISTROL SUR LOIRE","ROUTE DE ST ETIENNE","42110","FEURS"
"AGRI SUD EST CENTRE ( GAMM  VERT RIORGES )","ROUTE DE ST ETIENNE","42110","FEURS"
